Date,Time,Error Type,Error Detail
2018-04-18,1943,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-18,2106,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-18,2209,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-18,2213,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-18,2214,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-18,2214-2,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-18,2218,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-20,1413,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-21,0320,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-23,0734,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-23,0835,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-05-01,1320,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-05-02,0814,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-02,1259,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-02,1444,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-02,1819,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-02,1821,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-07,1304,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-07,1620,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-05-08,1234,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-08,1244,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-08,1254,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-08,1254-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-08,1256,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-10,1421,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-10,1606,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-11,1006,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-11,1549,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-16,0047,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-17,0559,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
