Date,Error Type,Error Detail
2018-05-10,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-10,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-11,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-11,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-16,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-17,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-17,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-17,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-05-17,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-18,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-18,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-20,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-21,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-21,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-22,CILogon OIDC authz endpoint error,"The CILogon OIDC authorization endpoint received a request from an OIDC client, but at least one of the required parameters (redirect_uri) was missing."
2018-05-22,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-05-22,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-24,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-24,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-24,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-28,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-31,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-06-01,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-01,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-02,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-02,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-03,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-06-05,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-05,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-05,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-06,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-06-06,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-06-07,CILogon OIDC authz endpoint error,"The CILogon OIDC authorization endpoint received a request from an OIDC client, but at least one of the required parameters (redirect_uri) was missing."
2018-06-07,OA4MP OIDC authz endpoint error,You must specify 'login' as an option
2018-06-07,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-06-07,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-06-07,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-06-13,CILogon OIDC authz endpoint error,"The CILogon OIDC authorization endpoint received a request from an OIDC client, but at least one of the required parameters (redirect_uri) was missing."
2018-06-13,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-13,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-06-15,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-19,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-06-19,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-06-19,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-19,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-20,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-06-21,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-21,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-06-21,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-21,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-06-22,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-06-22,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-22,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-26,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-28,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-28,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-28,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-28,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-28,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-06-29,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-06-30,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-07-02,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-02,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-07-02,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-07-02,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-02,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-09,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-07-09,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-10,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-10,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-10,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-07-10,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-11,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-11,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-13,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-07-13,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-07-16,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-07-18,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-07-19,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-07-19,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-20,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-07-20,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-07-23,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-07-30,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-01,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-02,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-08-04,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-05,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-06,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-08-07,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-08-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-08,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-08-09,Failure in /secure/getuser/,STATUS_INTERNAL_ERROR
2018-08-09,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-09,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-10,Failure in /secure/getuser/,STATUS_INTERNAL_ERROR
2018-08-10,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-11,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-11,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-11,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-12,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-12,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-13,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-14,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-14,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-14,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-14,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-08-15,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-16,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-08-16,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-08-16,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-17,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-17,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-17,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-17,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-17,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-17,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-20,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-20,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-08-22,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-22,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-23,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-24,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-27,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-08-28,OA4MP OIDC authz endpoint error,You must specify 'login' as an option
2018-08-28,OA4MP OIDC authz endpoint error,You must specify 'login' as an option
2018-08-29,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-08-30,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-08-30,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-08-31,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-08-31,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-09-03,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-09-04,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-06,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-06,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-10,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-09-12,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-09-12,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-13,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-09-13,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-14,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-09-16,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-17,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-09-17,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-09-17,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-09-18,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-09-18,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-09-18,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-09-18,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-20,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-20,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-20,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
